sample_num,sample_in,phase,osc,output
0,0,27968,5230212,0
1,0,55936,8178288,0
2,0,83904,7646265,0
3,0,111872,3639681,0
4,0,139840,-1662170,0
5,0,167808,-6426047,0
6,0,195776,-8388607,0
7,0,223744,-6686832,0
8,0,251712,-2069951,0
9,0,17536,3450126,0
10,1048576,45504,7464786,933098
11,1048576,73472,8261166,1032645
12,1048576,101440,5392093,674011
13,1048576,129408,209134,26141
14,1048576,157376,-4896797,-612100
15,1048576,185344,-8129209,-1016152
16,1048576,213312,-7729903,-966238
17,1048576,241280,-4011885,-501486
18,1048576,7104,1250257,156282
19,1048576,35072,6289621,786202
20,4194304,63040,8378180,4189090
21,4194304,91008,6930993,3465496
22,4194304,118976,2271975,1135987
23,4194304,146944,-3064703,-1532352
24,4194304,174912,-7264748,-3632374
25,4194304,202880,-8294914,-4147457
26,4194304,230848,-5705702,-2852851
27,4194304,258816,-626881,-313441
28,4194304,24640,4725471,2362735
29,4194304,52608,8015926,4007963
30,6291456,80576,7882713,5912034
31,6291456,108544,4194304,3145728
32,6291456,136512,-1043071,-782304
33,6291456,164480,-6005126,-4503845
34,6291456,192448,-8346923,-6260193
35,6291456,220416,-7046648,-5284986
36,6291456,248384,-2671660,-2003745
37,6291456,14208,2671660,2003745
38,6291456,42176,7157923,5368442
39,6291456,70144,8346923,6260192
40,8388607,98112,6005126,6005125
41,8388607,126080,835236,835235
42,8388607,154048,-4374116,-4374116
43,8388607,182016,-7882713,-7882713
44,8388607,209984,-7951791,-7951791
45,8388607,237952,-4551208,-4551208
46,8388607,3776,626881,626880
47,8388607,31744,5857235,5857234
48,8388607,59712,8323506,8323505
49,8388607,87680,7264748,7264747
50,-1048576,115648,3064703,-383088
51,-1048576,143616,-2472586,309073
52,-1048576,171584,-6930993,866374
53,-1048576,199552,-8378180,1047272
54,-1048576,227520,-6149285,768660
55,-1048576,255488,-1250257,156282
56,-1048576,21312,4011885,-501486
57,-1048576,49280,7808735,-976092
58,-1048576,77248,8075077,-1009385
59,-1048576,105216,4896797,-612100
60,-4194304,133184,-418138,209069
61,-4194304,161152,-5550623,2775311
62,-4194304,189120,-8261166,4130583
63,-4194304,217088,-7367057,3683528
64,-4194304,245056,-3258427,1629213
65,-4194304,10880,2069951,-1034976
66,-4194304,38848,6686832,-3343416
67,-4194304,66816,8386001,-4193001
68,-4194304,94784,6426047,-3213024
69,-4194304,122752,1662170,-831085
70,-6291456,150720,-3826972,2870229
71,-6291456,178688,-7646265,5734698
72,-6291456,206656,-8178288,6133716
73,-6291456,234624,-5065079,3798809
74,-6291456,448,0,0
75,-6291456,28416,5230212,-3922659
76,-6291456,56384,8222283,-6166713
77,-6291456,84352,7557875,-5668407
78,-6291456,112320,3639681,-2729761
79,-6291456,140288,-1866641,1399980
80,-8388608,168256,-6558478,6558478
81,-8388608,196224,-8388607,8388607
82,-8388608,224192,-6686832,6686832
83,-8388608,252160,-1866641,1866641
84,-8388608,17984,3450126,-3450126
85,-8388608,45952,7464786,-7464786
86,-8388608,73920,8222283,-8222283
87,-8388608,101888,5392093,-5392093
88,-8388608,129856,209134,-209134
89,-8388608,157824,-5065079,5065079
90,4194304,185792,-8129209,-4064605
91,-4194304,213760,-7729903,3864951
92,4194304,241728,-3826972,-1913486
93,-4194304,7552,1456666,-728333
94,4194304,35520,6289621,3144810
95,-4194304,63488,8386001,-4193001
96,4194304,91456,6811030,3405515
97,-4194304,119424,2271975,-1135988
98,4194304,147392,-3064703,-1532352
99,-4194304,175360,-7367057,3683528
100,1,203328,-8294914,-1
101,-1,231296,-5705702,0
102,8388606,259264,-418138,-418138
103,-8388607,25088,4725471,-4725471
